121  13 27 57.98  -47 15 55.5  15041    236.0  2.1   1  201.99157  -47.26541
122  13 25 11.17  -47 16 31.3  16005     46.9  1.9   2  201.29656  -47.27537
123  13 25 51.36  -47 16 39.8  16009    225.0  2.0   9  201.46400  -47.27771
124  13 26 19.56  -47 16 34.2  16015    226.6  2.1   1  201.58150  -47.27617
125  13 26 29.48  -47 16 51.6  16020    221.5  2.5   1  201.62285  -47.28100
126  13 26 55.81  -47 16 29.0  16026    235.3  3.3   1  201.73255  -47.27471
127  13 26 57.71  -47 16 49.6  16027    227.6  1.6   1  201.74047  -47.28045
128  13 27 18.96  -47 16 32.9  16032    210.1  3.2   1  201.82898  -47.27580
129  13 27 28.24  -47 16 50.1  16034     -6.0  2.1   1  201.86767  -47.28058
130  13 28 00.73  -47 16 25.1  16037    231.8  5.8   1  202.00305  -47.27363
131  13 28 02.84  -47 16 43.5  16038     14.5  1.1   1  202.01185  -47.27875
132  13 24 44.64  -47 17 00.1  17007     36.0  1.5   1  201.18598  -47.28337
133  13 25 35.82  -47 17 17.0  17008    -14.5  7.5   1  201.39927  -47.28805
134  13 25 54.06  -47 17 05.9  17014    226.5  0.3   2  201.47527  -47.28498
135  13 26 01.05  -47 17 11.0  17015    224.0  0.1   2  201.50436  -47.28639
136  13 26 01.15  -47 16 57.7  17016    247.2  4.6   1  201.50479  -47.28269
137  13 26 24.61  -47 17 13.9  17025    250.3  2.3   1  201.60253  -47.28719
138  13 26 27.14  -47 17 01.1  17027    235.0  1.8   1  201.61309  -47.28363
139  13 26 28.63  -47 16 57.4  17028    236.3  4.4   1  201.61928  -47.28262
140  13 26 31.73  -47 16 59.4  17029    221.2  1.9   1  201.63222  -47.28316
141  13 26 42.64  -47 17 10.5  17032    237.7  1.0   1  201.67766  -47.28626
142  13 27 15.49  -47 17 00.5  17040    225.1  4.0   1  201.81453  -47.28346
143  13 27 17.91  -47 17 14.5  17041     37.1  3.1   1  201.82463  -47.28735
144  13 27 24.18  -47 17 02.3  17043    224.6  4.8   1  201.85075  -47.28398
145  13 27 27.38  -47 17 12.1  17045    226.9  8.4   1  201.86408  -47.28670
146  13 27 31.83  -47 16 55.2  17046    235.9  1.5   1  201.88263  -47.28201
147  13 27 33.70  -47 16 59.4  17047    228.5  2.1   1  201.89042  -47.28317
148  13 28 01.52  -47 16 57.1  17049    -25.2  5.0   1  202.00633  -47.28253
149  13 24 56.20  -47 17 44.1  18007    -24.9  6.6   1  201.23416  -47.29557
150  13 25 19.23  -47 17 46.5  18011    -38.3  1.2   1  201.33011  -47.29624
151  13 25 55.51  -47 17 21.7  18017    233.8  1.4   1  201.48129  -47.28935
152  13 25 59.70  -47 17 47.6  18020    215.1  0.3   3  201.49876  -47.29655
153  13 26 02.01  -47 17 41.8  18021    238.4  0.1   2  201.50836  -47.29494
154  13 26 07.40  -47 17 37.1  18022    231.7  2.4   1  201.53084  -47.29363
155  13 26 09.28  -47 17 47.1  18023    224.8  2.0   1  201.53865  -47.29643
156  13 26 16.75  -47 17 19.5  18026      8.7  2.2   1  201.56981  -47.28875
157  13 26 37.30  -47 17 33.5  18028    225.2  2.1   1  201.65542  -47.29263
158  13 26 39.95  -47 17 19.4  18030    -35.2  3.2   1  201.66645  -47.28873
159  13 26 49.12  -47 17 34.3  18035    227.7  1.8   1  201.70467  -47.29287
160  13 26 57.87  -47 17 18.2  18040    234.3  1.1   1  201.74111  -47.28838
161  13 26 59.28  -47 17 31.5  18042    219.0  5.6   1  201.74699  -47.29208
162  13 27 11.24  -47 17 43.7  18046    223.0  4.9   1  201.79682  -47.29547
163  13 27 13.47  -47 17 25.7  18047    238.4  1.5   1  201.80611  -47.29046
164  13 27 25.05  -47 17 20.9  18049    236.9  7.4   1  201.85439  -47.28914
165  13 27 28.03  -47 17 21.3  18050    220.4  3.0   1  201.86680  -47.28925
166  13 27 41.45  -47 17 26.5  18052    239.8  2.5   1  201.92269  -47.29069
167  13 27 43.80  -47 17 42.1  18053    228.1  3.3   1  201.93249  -47.29503
168  13 27 50.58  -47 17 39.0  18057    231.0  1.6   1  201.96077  -47.29416
169  13 27 54.51  -47 17 25.2  18058    221.6  2.2   1  201.97713  -47.29034
170  13 24 30.90  -47 18 13.0  19006      5.4  3.8   1  201.12877  -47.30361
171  13 25 01.69  -47 18 13.3  19008    -47.9  1.6   1  201.25704  -47.30370
172  13 25 50.21  -47 17 56.1  19014    226.9  0.2   2  201.45921  -47.29892
173  13 26 05.46  -47 17 51.2  19016    225.6  2.5   1  201.52274  -47.29755
174  13 26 06.52  -47 18 04.2  19018    -49.1  2.2   1  201.52715  -47.30116
175  13 26 13.26  -47 17 57.6  19022    230.5  1.3   1  201.55526  -47.29932
176  13 26 24.76  -47 18 02.0  19028    225.3  3.1   1  201.60318  -47.30056
177  13 26 32.78  -47 17 51.9  19031    234.0  2.2   1  201.63658  -47.29775
178  13 26 43.72  -47 18 10.6  19034    220.3  3.9   1  201.68216  -47.30295
179  13 26 48.65  -47 18 10.1  19036    730.0  4.7   1  201.70271  -47.30280
180  13 26 50.74  -47 18 04.2  19037    231.1  3.1   1  201.71141  -47.30118
181  13 26 52.89  -47 18 10.5  19038    217.1  7.4   1  201.72037  -47.30292
182  13 27 08.07  -47 18 11.1  19043    230.6  5.0   1  201.78361  -47.30308
183  13 27 20.57  -47 17 54.6  19048    228.5  2.0   1  201.83571  -47.29851
184  13 27 34.88  -47 17 50.6  19055    237.6  6.4   1  201.89532  -47.29739
185  13 27 35.60  -47 18 08.9  19057    238.3  2.8   1  201.89835  -47.30246
186  13 27 43.60  -47 18 10.3  19059    229.0  1.7   1  201.93168  -47.30287
187  13 27 49.46  -47 17 57.5  19060    253.9  1.4   1  201.95608  -47.29930
188  13 27 54.34  -47 18 04.3  19061      5.1  1.8   1  201.97643  -47.30120
189  13 27 56.64  -47 18 07.4  19062    225.4  1.0   1  201.98598  -47.30205
190  13 28 03.47  -47 17 59.4  19065    239.6  6.7   1  202.01444  -47.29983
191  13 24 39.32  -47 18 23.1  20007     25.2  2.7   1  201.16382  -47.30642
192  13 25 00.01  -47 18 44.4  20009     -5.4  0.9   2  201.25004  -47.31232
193  13 25 29.42  -47 18 34.9  20012    239.2  3.8   1  201.37259  -47.30969
194  13 25 39.29  -47 18 33.0  20015    245.5  8.8   1  201.41369  -47.30916
195  13 25 45.30  -47 18 28.1  20017    231.2  2.1   1  201.43875  -47.30781
196  13 25 47.46  -47 18 43.2  20018    226.0  1.4   1  201.44774  -47.31201
197  13 26 08.35  -47 18 31.9  20023    -33.4  4.4   1  201.53481  -47.30886
198  13 26 11.16  -47 18 40.3  20026    221.7  9.0   1  201.54652  -47.31119
199  13 26 20.95  -47 18 15.8  20028    227.8  5.5   1  201.58728  -47.30438
200  13 26 48.90  -47 18 12.9  20036    230.1  2.3   1  201.70374  -47.30357
201  13 26 53.07  -47 18 31.9  20037    231.3  1.1   1  201.72114  -47.30886
202  13 27 03.72  -47 18 15.8  20042    219.9  1.5   1  201.76550  -47.30438
203  13 27 07.35  -47 18 19.9  20043    -67.9  4.8   1  201.78062  -47.30552
204  13 27 27.42  -47 18 21.5  20047    220.3  2.1   1  201.86425  -47.30598
205  13 27 36.14  -47 18 19.6  20049    230.0  1.3   1  201.90057  -47.30544
206  13 27 58.74  -47 18 30.2  20053    220.0  2.3   1  201.99473  -47.30840
207  13 25 42.65  -47 18 49.9  21013    228.0  3.9   1  201.42772  -47.31386
208  13 25 48.86  -47 18 49.7  21014      7.3  6.4   1  201.45360  -47.31380
209  13 25 58.02  -47 18 48.2  21017      5.8  6.5   1  201.49175  -47.31340
210  13 26 01.01  -47 18 45.5  21018     24.8  1.9   1  201.50421  -47.31263
211  13 26 23.52  -47 18 47.8  21025    236.1  4.3   1  201.59799  -47.31327
212  13 26 26.12  -47 18 51.9  21029    226.9  7.3   1  201.60882  -47.31443
213  13 26 28.57  -47 18 46.8  21030    247.9  4.2   1  201.61906  -47.31301
214  13 26 34.10  -47 19 00.2  21032    221.6  1.0   1  201.64209  -47.31672
215  13 26 37.17  -47 19 00.3  21035    239.8  1.3   1  201.65487  -47.31674
216  13 26 37.90  -47 18 59.9  21036    225.4  2.8   1  201.65793  -47.31665
217  13 26 40.43  -47 19 06.3  21037    245.1  1.8   1  201.66847  -47.31842
218  13 26 45.84  -47 19 05.6  21042    232.4  1.4   1  201.69101  -47.31823
219  13 26 46.31  -47 18 56.7  21044    224.8  2.2   1  201.69296  -47.31574
220  13 26 57.41  -47 18 41.1  21054    118.5  4.9   1  201.73921  -47.31141
221  13 26 58.26  -47 19 05.2  21055    217.9  4.2   1  201.74276  -47.31810
222  13 27 17.54  -47 18 54.3  21062    -25.4  1.3   1  201.82307  -47.31508
223  13 27 18.74  -47 18 45.7  21063    236.1  2.2   1  201.82808  -47.31270
224  13 27 19.71  -47 18 46.6  21064    244.8  7.3   1  201.83211  -47.31295
225  13 25 01.95  -47 19 35.8  22010    233.4  2.9   1  201.25812  -47.32662
