Decl,Nmeasure,RA,Reference,STAR LOGG,STAR LOGG err,STAR M_H,STAR M_H err,STAR TEFF,STAR TEFF err,STAR V,STAR V err,SourceNumber,Star_Id,Variable,f606w,f814w,Member
-53.6866,1,265.257,1,4.66392413,,-1.77421098,0.12241468,5340.92878751,80.5075331,20.02263682,4.1227263416,21000080,1898613,False,18.625,17.835,0.9994772077
-53.6858,1,265.243,1,4.2805714,,-2.07532261,0.06267932,6209.13628966,20.73937596,10.30932131,2.4245650107,21000085,1898617,False,16.811,16.185,0.9996093512
-53.6858,1,265.239,1,3.95030381,,-1.972554,0.04273944,6169.19613149,16.25434858,6.79569422,1.5724735557,21000086,1898618,False,15.968,15.341,0.9991055131
-53.6858,1,265.265,1,4.54130475,,-1.82415765,0.0835082,6017.45497088,41.07786833,17.30216386,3.372252595,21000087,1898619,False,17.612,16.963,0.9997403622
-53.6856,1,265.241,1,4.31652196,,-2.04364545,0.06964128,6198.57637315,22.40561286,24.39581174,2.5674418137,21000088,1898620,False,16.901,16.276,0.9995411634
-53.6854,1,265.248,1,4.43236685,,-1.84829042,0.06833956,6166.82197238,24.91779638,20.56569523,2.7967993105,21000089,1898621,False,17.293,16.649,0.9998031259
-53.6854,1,265.259,1,4.71911742,,-1.78265321,0.16769421,4973.57861099,108.99474847,8.5016285,5.6349365839,21000091,1898622,False,19.262,18.375,0.9987376332
-53.6853,1,265.252,1,4.20535477,,-2.1303826,0.05859645,6220.91308733,18.18009673,12.72941649,1.9947432126,21000092,1898623,False,16.543,15.934,0.9995475411
-53.6848,1,265.247,1,4.58426024,,-1.73149793,0.09703462,5603.76040864,76.08428946,12.11398587,3.8876491237,21000095,1898624,False,18.108,17.378,0.9993714094
-53.6848,1,265.241,1,4.65113496,,-1.92257723,0.13853689,5613.82743774,96.24781613,15.26614821,5.0637339351,21000096,1898625,False,18.177,17.473,0.9998114705
-53.6846,1,265.263,1,4.17017017,,-1.9807146,0.05681618,6302.08525954,26.82427543,19.386364,1.8358660726,21000098,1898626,False,16.377,15.786,0.9998198748
-53.6844,1,265.259,1,4.42009769,,-1.99312424,0.06643923,6084.2518528,25.76267943,20.6039306,2.5802276411,21000099,1898627,False,17.171,16.547,0.9996826649
-53.6839,1,265.255,1,4.43219253,,-1.90098353,0.06255797,6071.46336983,27.95311274,20.80877954,2.7322360049,21000102,1898629,False,17.297,16.652,0.9997852445
-53.6833,1,265.261,1,4.67702666,,-1.61086934,0.13445332,5593.50640559,113.62601875,22.82088492,4.5384337792,21000108,1898633,False,18.568,17.798,0.9968785644
