113	18 40 20.39	-60 47 32.3	18 40 20.39	-60 47 32.3	-50.2	0.9
114	18 37 31.48	-76 05 12.6	18 37 31.48	-76 05 12.6	68.0	1.0
115	18 28 27.53	-78 05 56.9	18 28 27.53	-78 05 56.9	135.9	1.3
116	18 24 39.88	-62 26 05.8	18 24 39.88	-62 26 05.8	21.6	1.0
117	18 13 22.05	-42 09 11.5	18 13 22.05	-42 09 11.5	222.6	0.8
118	18 07 52.95	-42 18 05.1	18 07 52.95	-42 18 05.1	-63.2	0.6
119	17 59 40.52	-60 11 40.8	17 59 40.52	-60 11 40.8	31.5	1.2
120	17 40 06.82	-61 02 12.9	17 40 06.82	-61 02 12.9	262.4	0.5
121	17 25 55.44	-57 52 17.7	17 25 55.44	-57 52 17.7	397.0	0.8
122	17 18 11.89	-58 02 02.5	17 18 11.89	-58 02 02.5	183.1	0.5
123	17 14 59.78	-65 01 00.7	17 14 59.78	-65 01 00.7	333.5	0.4
124	16 11 35.87	-15 01 35.5	16 11 35.87	-15 01 35.5	-13.9	2.2
125	16 10 12.07	-71 19 50.1	16 10 12.07	-71 19 50.1	-20.1	2.2
126	16 09 26.28	-14 56 55.5	16 09 26.28	-14 56 55.5	106.5	0.6
127	16 07 22.65	-12 28 16.3	16 07 22.65	-12 28 16.3	-51.8	0.7
128	16 02 45.41	-15 51 45.4	16 02 45.41	-15 51 45.4	-147.4	0.6
129	15 53 48.08	-17 40 33.4	15 53 48.08	-17 40 33.4	-127.4	1.2
130	15 52 48.00	-74 25 29.0	15 52 48.00	-74 25 29.0	104.0	1.2
131	15 52 07.20	-10 02 44.0	15 52 07.20	-10 02 44.0	175.4	1.2
132	15 52 01.35	-09 35 13.8	15 52 01.35	-09 35 13.8	54.5	0.7
133	15 44 47.51	-18 30 35.7	15 44 47.51	-18 30 35.7	142.0	0.9
134	15 40 21.99	-19 40 16.9	15 40 21.99	-19 40 16.9	46.4	1.7
135	15 32 53.84	-14 50 48.5	15 32 53.84	-14 50 48.5	-32.1	1.1
136	15 31 58.87	-76 30 39.7	15 31 58.87	-76 30 39.7	143.1	0.9
137	15 31 17.79	-10 43 31.3	15 31 17.79	-10 43 31.3	62.0	1.4
138	15 31 16.40	-82 06 54.7	15 31 16.40	-82 06 54.7	136.5	1.8
139	15 29 15.08	-09 42 25.0	15 29 15.08	-09 42 25.0	-110.9	0.9
140	15 26 29.01	-20 34 54.1	15 26 29.01	-20 34 54.1	203.5	0.7
141	15 20 58.81	-17 53 00.7	15 20 58.81	-17 53 00.7	-45.6	0.8
142	15 19 56.73	-74 45 20.6	15 19 56.73	-74 45 20.6	109.7	0.8
143	15 17 04.43	-14 41 28.5	15 17 04.43	-14 41 28.5	97.1	1.0
144	15 15 53.97	-11 25 09.2	15 15 53.97	-11 25 09.2	63.8	1.6
145	15 14 53.14	-07 13 40.7	15 14 53.14	-07 13 40.7	60.9	1.5
146	15 12 02.06	-23 36 40.8	15 12 02.06	-23 36 40.8	-44.3	0.7
147	15 11 19.12	-13 05 38.2	15 11 19.12	-13 05 38.2	36.5	0.7
148	15 04 22.60	-04 24 11.5	15 04 22.60	-04 24 11.5	-58.7	1.1
149	15 03 36.68	-11 06 36.8	15 03 36.68	-11 06 36.8	29.3	0.6
150	15 01 59.97	-26 13 49.5	15 01 59.97	-26 13 49.5	-78.7	1.1
151	14 59 29.81	-38 52 55.9	14 59 29.81	-38 52 55.9	304.6	0.4
152	14 58 40.42	-22 41 20.5	14 58 40.42	-22 41 20.5	-65.6	1.0
153	14 57 57.44	-19 56 50.6	14 57 57.44	-19 56 50.6	22.4	0.6
154	14 53 13.68	-03 22 47.9	14 53 13.68	-03 22 47.9	-60.5	1.3
155	14 52 48.65	-45 05 49.7	14 52 48.65	-45 05 49.7	277.1	0.8
156	14 52 06.83	-66 22 15.2	14 52 06.83	-66 22 15.2	139.7	1.2
157	14 51 55.48	-16 53 25.5	14 51 55.48	-16 53 25.5	168.4	1.1
158	14 49 47.47	-12 49 05.2	14 49 47.47	-12 49 05.2	-49.5	1.3
159	14 49 40.66	-74 30 06.6	14 49 40.66	-74 30 06.6	137.6	1.0
160	14 48 35.88	-28 42 41.6	14 48 35.88	-28 42 41.6	159.9	0.9
161	14 44 51.52	-18 54 15.1	14 44 51.52	-18 54 15.1	-143.1	0.4
