201.67385	-47.50973	243.344     0.285
201.65176	-47.50884	240.024     0.875
201.76861	-47.50774	249.468     1.211
201.60651	-47.50779	206.708     0.328
201.76487	-47.50745	223.802     0.801
201.63047	-47.50741	240.316     0.922
201.68893	-47.50708	244.999     0.480
201.71954	-47.50682	239.849     1.195
201.73738	-47.50678	226.996     0.552
201.64345	-47.50677	235.370     0.810
201.73853	-47.50653	219.045     0.489
201.64892	-47.50637	241.896     0.284
201.75042	-47.50613	265.500     0.267
201.78692	-47.50603	256.737     0.363
201.65318	-47.50621	202.892     0.085
201.65853	-47.50608	229.078     0.263
201.78229	-47.50482	257.550     0.300
201.63877	-47.50480	206.778     0.551
201.72893	-47.50410	221.593     0.359
201.60850	-47.50371	234.374     0.806
201.67262	-47.50345	211.837     0.256
201.70175	-47.50290	200.932     0.175
201.75489	-47.50168	237.652     0.480
201.71045	-47.50028	236.118     0.388
201.70092	-47.49966	206.111     0.465
201.68913	-47.49969	222.553     0.194
201.60187	-47.49938	216.147     0.676
201.61172	-47.49908	228.488     0.377
201.60771	-47.49820	217.589     0.452
201.74627	-47.49712	225.040     0.822
201.60515	-47.49737	212.067     0.648
201.73938	-47.49703	243.285     1.178
201.67489	-47.49701	275.658     0.578
201.65775	-47.49682	227.578     0.207
201.68844	-47.49594	248.249     0.900
201.72258	-47.49572	232.944     0.155
201.73373	-47.49359	230.837     0.143
201.73943	-47.49296	238.740     0.438
201.61030	-47.49304	231.521     0.613
201.65641	-47.49286	251.484     0.147
201.70041	-47.49194	271.433     1.095
201.71859	-47.49189	210.106     0.032
201.78289	-47.49137	232.554     0.281
201.66030	-47.49149	238.428     0.122
201.64337	-47.49123	223.270     1.099
201.67479	-47.49119	211.508     0.170
201.61427	-47.49087	225.216     0.531
201.59636	-47.49036	219.399     0.131
201.68472	-47.49001	226.713     0.982
201.61226	-47.48931	215.528     0.488
201.66041	-47.48923	232.168     0.945
201.67809	-47.48871	223.631     0.617
201.63995	-47.48853	239.921     0.826
201.61185	-47.48826	211.575     0.562
201.66551	-47.48779	230.978     0.332
201.73474	-47.48754	249.723     0.466
201.61732	-47.48773	245.269     0.210
201.61969	-47.48749	236.605     0.031
201.64884	-47.48632	206.127     0.258
201.72516	-47.48481	248.822     0.412
201.68700	-47.48448	209.910     0.793
201.66223	-47.48386	243.144     0.926
201.60456	-47.48331	225.943     0.381
201.60177	-47.48300	238.260     0.580
201.69224	-47.48244	217.863     0.166
201.66055	-47.48210	242.439     0.557
201.73352	-47.48189	229.804     0.540
201.67533	-47.48115	228.063     0.573
201.67220	-47.48101	225.213     0.340
201.60477	-47.48052	246.576     0.359
201.78011	-47.47929	222.881     0.375
201.74680	-47.47780	260.551     0.311
201.69298	-47.47763	248.998     1.719
201.71761	-47.47731	246.095     1.416
201.66872	-47.47689	250.783     1.213
201.75249	-47.47605	225.788     1.494
201.66649	-47.47605	236.050     0.528
201.74995	-47.47590	260.083     0.378
201.74155	-47.47537	256.509     1.064
201.68014	-47.47549	223.166     0.306
201.65531	-47.47521	249.444     0.155
201.61377	-47.47512	228.801     0.458
201.78309	-47.47443	228.941     0.742
201.67134	-47.47441	214.236     0.478
201.77611	-47.47296	252.652     0.391
201.76863	-47.47081	210.249     0.434
201.65207	-47.47091	247.611     0.318
201.73037	-47.47060	240.083     1.025
201.77235	-47.47016	256.781     0.336
201.64935	-47.47014	238.393     0.897
201.75146	-47.46895	252.005     0.737
201.63433	-47.46914	226.913     0.295
201.74863	-47.46866	245.469     1.157
201.65739	-47.46726	232.507     0.575
201.66555	-47.46369	260.685     0.935
201.67842	-47.46319	237.931     0.306
201.71325	-47.46238	215.152     0.511
201.71520	-47.46182	246.804     0.510
201.68280	-47.46172	224.558     1.652
201.70459	-47.46167	206.639     0.246
201.67073	-47.46148	212.467     0.323
201.75134	-47.46130	226.987     1.487
201.68284	-47.46130	225.776     1.448
201.76429	-47.46060	238.804     0.553
201.66509	-47.46011	224.536     1.838
201.63030	-47.45996	218.479     0.616
201.78176	-47.45909	237.301     0.514
201.64001	-47.45909	200.003     0.520
201.67150	-47.45893	216.574     0.484
201.63587	-47.45847	234.850     0.258
201.75237	-47.45818	225.898     0.881
201.70385	-47.45775	229.475     1.596
201.73748	-47.45755	233.693     0.919
