201.46516200    -47.36891600    234.590 0.620   
201.16299600    -47.23366900    237.515 0.778   
201.43344200    -47.35416800    227.639 0.577   
201.44247500    -47.34422300    224.025 0.655   
201.14197500    -47.47924800    229.841 0.511   
201.31202100    -47.41262100    220.452 0.537   
201.18685800    -47.34618000    230.819 0.707   
201.16495400    -47.36337300    238.047 0.618   
201.35135800    -47.25143800    231.127 0.424   
201.28436300    -47.33880600    223.684 0.498   
201.25288300    -47.33072700    242.851 0.713   
201.36772500    -47.26079900    250.589 0.650   
201.24750000    -47.11921700    221.462 0.557   
201.32542500    -47.32492800    234.356 0.568   
201.48120800    -47.28945500    236.065 0.409   
201.41360000    -47.30925800    240.200 0.869   
201.44446700    -47.37107500    236.711 0.488   
201.29036700    -47.45515800    228.016 0.620   
201.47519200    -47.28507200    227.229 0.310   
201.25274200    -47.47403300    239.759 0.304   
201.39505000    -47.39662600    259.527 0.563   
201.37249600    -47.30977600    247.341 0.694   
201.16230800    -47.26480100    223.734 0.856   
201.97183300    -47.50750000    248.670 0.525   
201.94329200    -47.50719400    244.535 0.688   
202.10108300    -47.45666700    223.276 0.605   
202.33854200    -47.44080600    239.423 0.339   
201.97825000    -47.59472200    244.727 0.575   
202.14833300    -47.43283300    238.847 0.294   
202.13104200    -47.64841700    228.508 0.276   
201.93750000    -47.66158300    227.007 0.377   
202.15475000    -47.64794400    223.069 0.374   
202.16820800    -47.50633300    226.739 0.400   
202.06316700    -47.57108300    231.042 0.417   
202.08191700    -47.41541700    235.445 0.729   
201.95237500    -47.52850000    255.631 0.708   
202.07908300    -47.53111100    247.007 0.320   
201.99262500    -47.45580600    236.406 0.393   
202.13379200    -47.57152800    241.530 0.376   
201.93787500    -47.62936100    246.931 0.623   
201.92583300    -47.64588900    242.988 0.335   
202.10475000    -47.45347200    245.277 0.993   
201.98833300    -47.49238900    246.170 0.659   
202.01720800    -47.41386100    234.646 0.399   
202.08608300    -47.62566700    250.927 0.318   
202.11400000    -47.47875000    232.452 0.525   
202.16637500    -47.44247200    231.710 0.997   
201.91116700    -47.54316700    241.517 0.711   
202.25575000    -47.72163900    234.098 0.420   
201.98450000    -47.55552800    236.608 0.479   
202.14979200    -47.72677800    238.616 0.274   
202.14087500    -47.53486100    242.930 0.333   
201.98875000    -47.61055600    251.281 0.491   
202.27962500    -47.46366700    237.328 0.439   
201.93208300    -47.68536100    239.178 0.248   
201.99358300    -47.50763900    226.079 0.499   
202.01020800    -47.64041700    233.515 0.361   
202.21262500    -47.52633300    240.180 0.376   
202.07037500    -47.49888900    242.357 0.369   
201.91916700    -47.59938900    227.030 0.566   
202.05654200    -47.40652800    231.425 0.383   
202.39420800    -47.60897200    238.041 0.697   
202.29816700    -47.59125000    232.851 0.582   
202.07454200    -47.47686100    232.929 0.758   
202.16300000    -47.55652800    244.824 0.624   
202.00208300    -47.52919400    239.060 0.444   
202.11775000    -47.46191700    228.589 0.507   
202.19000000    -47.65169400    223.203 0.404   
202.12508300    -47.45636100    241.375 0.321   
201.97850000    -47.58838900    238.455 0.537   
202.09170800    -47.50122200    239.033 0.427   
202.40904200    -47.70783300    221.713 0.256   
202.09229200    -47.50552800    244.361 0.540   
201.92854200    -47.57222200    241.579 0.923   
203.28989200    -48.06358700    210.133 0.466   
201.63702500    -48.40182500    238.217 0.351   
202.10799600    -47.35226400    224.409 0.562   
202.16241200    -47.35918000    234.278 0.445   
201.98408700    -47.35736800    219.495 0.587   
201.93747900    -47.37784600    230.877 0.487   
202.23619200    -47.17246200    245.960 0.466   
201.98648800    -47.49560500    244.975 0.654   
202.01154200    -47.40343100    239.578 0.505   
201.93736700    -47.43410500    250.653 0.398   
202.02768700    -47.46752900    251.146 0.583   
202.13090800    -47.51141700    232.394 0.606   
202.12846300    -47.38630700    243.792 0.636   
201.97707100    -47.29041700    225.826 0.640   
202.01438300    -47.29990400    241.059 0.545   
201.98567100    -47.48296400    232.689 0.457   
202.32370400    -47.25526000    232.870 0.640   
201.97382500    -47.41170500    232.559 0.428   
202.00845000    -47.49849300    226.642 0.504   
202.06390400    -47.36478400    222.602 0.595   
201.97594200    -47.37812800    238.239 0.407   
202.06967100    -47.27947600    219.775 0.559   
202.17933800    -47.48424500    233.884 0.512   
201.91933800    -47.38861100    233.925 0.536   
201.93465400    -47.41865500    252.145 0.459   
202.08559600    -47.39527100    233.071 0.726   
202.11075000    -47.38760400    245.800 0.425   
202.17766700    -47.35387800    233.945 0.490   
202.13812500    -47.36646700    241.646 0.525   
201.98592900    -47.30211300    226.204 0.455   
200.52395000    -47.27526100    371.454 0.891   
200.34081200    -47.28197900    282.887 0.362   
201.75450800    -47.26985900    232.294 0.498   
201.74332100    -47.27266700    226.900 0.370   
202.10096700    -47.08874900    221.825 0.467   
201.82697100    -47.26186800    221.240 0.527   
