104	13 26 39.71	-47 49 52.0	104	231.1815	0.4740	11.639	11.055	10.967	201.66545	-47.83112
105	13 25 31.77	-47 23 20.5	105	238.3393	0.7920	12.040	11.577	11.464	201.38237	-47.38902
106	13 26 57.90	-47 09 14.3	106	239.2037	0.4104	11.979	11.514	11.393	201.74124	-47.15398
107	13 27 45.04	-47 39 41.5	107	227.0072	0.3770	11.426	10.780	10.613	201.93766	-47.66152
108	13 27 54.25	-47 22 41.0	108	238.2390	0.4070	11.500	10.908	10.763	201.97604	-47.37806
109	13 27 31.89	-47 41 20.2	109	252.8905	0.3229	11.546	10.960	10.823	201.88287	-47.68895
110	13 25 19.32	-47 35 06.8	110	237.7480	0.6140	11.798	11.239	11.141	201.33048	-47.58523
111	13 25 09.72	-47 27 18.3	111	228.0164	0.6200	11.835	11.277	11.197	201.29049	-47.45508
112	13 27 35.08	-47 45 40.2	112	227.7936	0.3941	11.850	11.277	11.187	201.89616	-47.76116
113	13 26 37.30	-47 17 33.3	113	227.4044	0.6020	11.830	11.304	11.176	201.65540	-47.29259
114	13 25 41.17	-47 38 21.1	114	231.8369	0.7340	11.859	11.358	11.199	201.42156	-47.63920
115	13 27 45.00	-47 26 02.5	115	250.6529	0.3980	11.597	11.016	10.860	201.93748	-47.43404
116	13 25 49.27	-47 40 25.6	116	232.0497	0.7210	11.929	11.393	11.252	201.45531	-47.67379
117	13 26 31.38	-47 40 47.3	117	227.3341	0.5500	10.944	10.229	10.050	201.63076	-47.67982
118	13 27 56.32	-47 33 19.6	118	236.6080	0.4790	11.858	11.312	11.166	201.98465	-47.55546
119	13 25 10.03	-47 20 31.2	119	239.1602	0.4580	11.784	11.181	11.087	201.29180	-47.34200
120	13 26 43.13	-47 43 34.6	120	253.1193	0.4130	11.567	10.935	10.842	201.67969	-47.72627
121	13 26 26.12	-47 18 51.9	121	231.9498	1.1340	12.452	12.010	11.925	201.60882	-47.31442
122	13 24 20.45	-47 19 35.0	122	227.1297	0.4090	11.843	11.221	11.077	201.08523	-47.32640
123	13 25 46.21	-47 20 38.9	123	224.0251	0.6550	12.044	11.501	11.414	201.44256	-47.34414
124	13 27 32.13	-47 50 16.0	124	223.1334	0.3713	12.049	11.500	11.392	201.88387	-47.83778
125	13 25 46.20	-47 11 18.7	125	217.8123	0.4163	12.111	11.579	11.511	201.44250	-47.18854
126	13 27 56.59	-47 28 58.4	126	232.6891	0.4570	11.886	11.322	11.176	201.98580	-47.48289
127	13 26 16.64	-47 19 58.6	127	222.2958	0.4860	11.221	10.521	10.353	201.56932	-47.33295
128	13 28 02.06	-47 29 54.3	128	226.6425	0.5040	11.993	11.471	11.331	202.00859	-47.49842
129	13 26 40.00	-47 12 59.3	129	243.4421	0.4260	12.085	11.561	11.454	201.66668	-47.21648
130	13 26 31.91	-47 18 49.3	130	225.3214	0.4010	11.715	11.089	10.942	201.63294	-47.31370
131	13 25 45.31	-47 18 28.1	131	233.6194	0.6760	12.253	11.720	11.610	201.43877	-47.30780
132	13 25 20.31	-47 14 00.1	132	219.5142	0.4310	11.963	11.394	11.249	201.33463	-47.23336
133	13 24 56.53	-47 44 28.6	133	238.3299	0.4340	11.886	11.269	11.133	201.23554	-47.74129
