Decl,Nmeasure,RA,Reference,STAR LOGG,STAR LOGG err,STAR M_H,STAR M_H err,STAR TEFF,STAR TEFF err,STAR V,STAR V err,SourceNumber,Star_Id,Variable,f606w,f814w,Member
-53.6935,1,265.249,1,4.66273632,,-1.92793985,0.1255624,5397.02600263,87.16714115,9.87511304,4.82268558009,21000047.0,1898583.0,False,18.473,17.714,0.999533593655
-53.6917,1,265.246,1,4.52606902,,-1.74367856,0.0851683,5820.70218856,53.88721608,13.94283568,3.58711161411,21000050.0,1898586.0,False,17.841,17.133,0.999527096748
-53.6914,1,265.25,1,4.51658678,,-1.79532279,0.07470152,6060.56558637,36.52921013,15.02834661,3.32731688563,21000051.0,1898587.0,False,17.718,17.031,0.999675989151
-53.6913,1,265.249,1,4.59293453,,-1.73140765,0.10492676,5702.11924136,71.41097362,18.2644542,3.88543455426,21000052.0,1898588.0,False,18.1,17.377,0.999493718147
-53.6912,1,265.252,1,4.75757434,,-0.47225707,0.09617749,5540.00120793,84.1764705,-172.85194542,4.41169993297,21000053.0,1898589.0,False,18.947,18.149,0.0
-53.6911,1,265.245,1,3.7414619,,-0.07138087,0.02213166,5335.59860771,16.08303731,-45.0833456,1.22235325112,21000054.0,1898590.0,False,16.016,15.245,0.0
-53.6903,1,265.257,1,4.26676187,,-2.12850607,0.06197606,6221.64877052,19.72993434,12.05924581,2.09053996956,21000056.0,1898592.0,False,16.642,16.047,0.999436080456
-53.6892,1,265.249,1,4.64818417,,-1.50915298,0.13452611,5331.60273917,99.69492278,10.99508506,4.48245810198,21000061.0,1898596.0,False,18.95,18.082,0.990675806999
-53.689,1,265.253,1,4.49357908,,-1.8674671,0.08004175,5920.49339922,46.36794606,23.15090233,2.96404842333,21000062.0,1898597.0,False,17.636,16.953,0.999613404274
-53.6888,1,265.245,1,4.08304052,,-0.20215932,0.0295432,5471.0479533,21.27164827,-102.72009961,1.47059459246,21000063.0,1898598.0,False,16.828,16.076,0.0
-53.6888,1,265.258,1,4.75008364,,-1.65652818,0.20516301,5205.22628531,145.43444669,17.0768591,6.77787520875,21000064.0,1898599.0,False,19.409,18.512,0.997962117195
-53.6887,1,265.249,1,4.37710053,,0.16603743,0.09182948,4408.75847075,32.0024759,26.90841153,2.9054134089,21000065.0,1898600.0,False,19.423,18.255,0.0
-53.688,1,265.261,1,4.18571294,,-0.4650376,0.02866853,5723.00177054,24.18411261,27.04478954,1.52327809382,21000068.0,1898602.0,False,16.875,16.176,0.0
-53.6871,1,265.26,1,3.7809697,,-2.01165693,0.03550499,5963.3621709,11.98880036,13.54850529,1.34919960573,21000073.0,1898607.0,False,15.703,15.036,0.999835550785
-53.687,1,265.237,1,4.92602048,,-0.06015379,0.09173163,6107.54935217,84.05989202,-67.81176734,5.55332271644,21000075.0,1898609.0,False,18.96,18.262,0.0
-53.6868,1,265.254,1,4.24002284,,-2.21149368,0.06427853,6262.72431419,20.80854011,6.55588684,2.13874915645,21000076.0,1898610.0,False,16.607,16.004,0.994394600391
-53.6867,1,265.262,1,4.26025306,,-2.01926628,0.06410546,6299.26303752,28.1096108,21.57148543,2.30755910067,21000078.0,1898611.0,False,16.685,16.076,0.999540686607
-53.6867,1,265.25,1,4.56858936,,-1.91654989,0.09051677,5789.18735865,58.42263872,19.16686723,3.49214890002,21000079.0,1898612.0,False,17.984,17.271,0.999819755554
-53.6866,1,265.257,1,4.66392413,,-1.77421098,0.12241468,5340.92878751,80.5075331,20.02263682,4.12272634159,21000080.0,1898613.0,False,18.625,17.835,0.999477207661
-53.6858,1,265.243,1,4.2805714,,-2.07532261,0.06267932,6209.13628966,20.73937596,10.30932131,2.42456501069,21000085.0,1898617.0,False,16.811,16.185,0.999609351158
-53.6858,1,265.239,1,3.95030381,,-1.972554,0.04273944,6169.19613149,16.25434858,6.79569422,1.57247355571,21000086.0,1898618.0,False,15.968,15.341,0.999105513096
-53.6858,1,265.265,1,4.54130475,,-1.82415765,0.0835082,6017.45497088,41.07786833,17.30216386,3.37225259504,21000087.0,1898619.0,False,17.612,16.963,0.999740362167
-53.6856,1,265.241,1,4.31652196,,-2.04364545,0.06964128,6198.57637315,22.40561286,24.39581174,2.56744181374,21000088.0,1898620.0,False,16.901,16.276,0.999541163445
-53.6854,1,265.248,1,4.43236685,,-1.84829042,0.06833956,6166.82197238,24.91779638,20.56569523,2.79679931048,21000089.0,1898621.0,False,17.293,16.649,0.999803125858
-53.6854,1,265.259,1,4.71911742,,-1.78265321,0.16769421,4973.57861099,108.99474847,8.5016285,5.63493658388,21000091.0,1898622.0,False,19.262,18.375,0.998737633228
-53.6853,1,265.252,1,4.20535477,,-2.1303826,0.05859645,6220.91308733,18.18009673,12.72941649,1.99474321259,21000092.0,1898623.0,False,16.543,15.934,0.999547541142
-53.6848,1,265.247,1,4.58426024,,-1.73149793,0.09703462,5603.76040864,76.08428946,12.11398587,3.8876491237,21000095.0,1898624.0,False,18.108,17.378,0.999371409416
-53.6848,1,265.241,1,4.65113496,,-1.92257723,0.13853689,5613.82743774,96.24781613,15.26614821,5.06373393509,21000096.0,1898625.0,False,18.177,17.473,0.999811470509
-53.6846,1,265.263,1,4.17017017,,-1.9807146,0.05681618,6302.08525954,26.82427543,19.386364,1.83586607256,21000098.0,1898626.0,False,16.377,15.786,0.999819874763
-53.6844,1,265.259,1,4.42009769,,-1.99312424,0.06643923,6084.2518528,25.76267943,20.6039306,2.58022764112,21000099.0,1898627.0,False,17.171,16.547,0.999682664871
